2026-05-17 10:16:34.510 | INFO     | Sobrevivencia.main:run:45 - Sistema inicializado. Iniciando SobrevivenciaGame...
2026-05-17 10:16:34.558 | WARNING  | Sobrevivencia.presentation.ui:__init__:97 - ModernGL indisponivel (Cannot detect window with OpenGL support). Usando renderizador CPU.
2026-05-17 10:53:13.879 | INFO     | Sobrevivencia.main:run:45 - Sistema inicializado. Iniciando SobrevivenciaGame...
2026-05-17 10:53:13.945 | WARNING  | Sobrevivencia.presentation.ui:__init__:97 - ModernGL indisponivel (Cannot detect window with OpenGL support). Usando renderizador CPU.
2026-05-17 10:56:27.832 | INFO     | Sobrevivencia.main:run:45 - Sistema inicializado. Iniciando SobrevivenciaGame...
2026-05-17 10:56:27.998 | WARNING  | Sobrevivencia.presentation.ui:__init__:97 - ModernGL indisponivel (Cannot detect window with OpenGL support). Usando renderizador CPU.
2026-05-17 11:00:20.665 | INFO     | Sobrevivencia.main:run:45 - Sistema inicializado. Iniciando SobrevivenciaGame...
2026-05-17 11:00:20.719 | WARNING  | Sobrevivencia.presentation.ui:__init__:97 - ModernGL indisponivel (Cannot detect window with OpenGL support). Usando renderizador CPU.
2026-05-17 11:02:03.783 | INFO     | Sobrevivencia.main:run:45 - Sistema inicializado. Iniciando SobrevivenciaGame...
2026-05-17 11:02:03.853 | WARNING  | Sobrevivencia.presentation.ui:__init__:97 - ModernGL indisponivel (Cannot detect window with OpenGL support). Usando renderizador CPU.
2026-05-17 11:02:04.554 | INFO     | Sobrevivencia.main:run:173 - Loop running... State: start
2026-05-17 11:11:10.706 | INFO     | Sobrevivencia.main:run:45 - Sistema inicializado. Iniciando SobrevivenciaGame...
2026-05-17 11:11:10.809 | WARNING  | Sobrevivencia.presentation.ui:__init__:97 - ModernGL indisponivel (Cannot detect window with OpenGL support). Usando renderizador CPU.
2026-05-17 11:17:04.620 | INFO     | Sobrevivencia.main:run:45 - Sistema inicializado. Iniciando SobrevivenciaGame...
2026-05-17 11:17:04.701 | WARNING  | Sobrevivencia.presentation.ui:__init__:97 - ModernGL indisponivel (Cannot detect window with OpenGL support). Usando renderizador CPU.
2026-05-17 11:20:38.944 | INFO     | Sobrevivencia.main:run:45 - Sistema inicializado. Iniciando SobrevivenciaGame...
2026-05-17 11:20:39.008 | WARNING  | Sobrevivencia.presentation.ui:__init__:97 - ModernGL indisponivel (Cannot detect window with OpenGL support). Usando renderizador CPU.
2026-05-17 11:29:18.760 | INFO     | Sobrevivencia.main:run:45 - Sistema inicializado. Iniciando SobrevivenciaGame...
2026-05-17 11:29:18.804 | WARNING  | Sobrevivencia.presentation.ui:__init__:97 - ModernGL indisponivel (Cannot detect window with OpenGL support). Usando renderizador CPU.
2026-05-17 11:31:13.978 | INFO     | Sobrevivencia.main:run:45 - Sistema inicializado. Iniciando SobrevivenciaGame...
